sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
11,baseline_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-09T13:40:00.122454Z,2026-08-09T13:40:00.287937Z,0.164939,0,PASS,reports/icml2027/command_logs/0011_baseline_replay.stdout.log,reports/icml2027/command_logs/0011_baseline_replay.stderr.log,,,,False
12,baseline_paper_firewall,python3 -m certgen audit paper --json,.,2026-08-09T13:40:00.380579Z,2026-08-09T13:40:00.541118Z,0.160022,0,PASS,reports/icml2027/command_logs/0012_baseline_paper_firewall.stdout.log,reports/icml2027/command_logs/0012_baseline_paper_firewall.stderr.log,,,,False
13,baseline_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues,""claim_allowed"":False}); raise SystemExit(bool(issues))'",.,2026-08-09T13:40:00.633816Z,2026-08-09T13:40:00.722661Z,0.088377,0,PASS,reports/icml2027/command_logs/0013_baseline_privacy.stdout.log,reports/icml2027/command_logs/0013_baseline_privacy.stderr.log,,,,False
14,baseline_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings,""claim_allowed"":False}); raise SystemExit(bool(findings))'",.,2026-08-09T13:40:00.818158Z,2026-08-09T13:40:01.031898Z,0.213257,0,PASS,reports/icml2027/command_logs/0014_baseline_secrets.stdout.log,reports/icml2027/command_logs/0014_baseline_secrets.stderr.log,,,,False
15,baseline_restricted_large,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted,""claim_allowed"":False}); raise SystemExit(bool(blockers or restricted))'",.,2026-08-09T13:40:01.126876Z,2026-08-09T13:40:01.784792Z,0.657457,0,PASS,reports/icml2027/command_logs/0015_baseline_restricted_large.stdout.log,reports/icml2027/command_logs/0015_baseline_restricted_large.stderr.log,,,,False
16,baseline_release_scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-08-09T13:40:01.878387Z,2026-08-09T13:40:02.003655Z,0.124765,0,PASS,reports/icml2027/command_logs/0016_baseline_release_scan.stdout.log,reports/icml2027/command_logs/0016_baseline_release_scan.stderr.log,,,,False
17,baseline_ruff,python3 -m ruff check certgen scripts tests,.,2026-08-09T13:40:02.097593Z,2026-08-09T13:40:02.449027Z,0.350892,0,PASS,reports/icml2027/command_logs/0017_baseline_ruff.stdout.log,reports/icml2027/command_logs/0017_baseline_ruff.stderr.log,,,,False
18,baseline_changed_mypy,python3 -m mypy --follow-imports=skip certgen/discovery certgen/notebooks/environment_bootstrap.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/cvpr_factory.py certgen/phase1/audit.py certgen/phase1/kaggle.py certgen/phase1/notebooks.py scripts/run_all_available_cpu_stages.py tests/test_universal_kaggle_discovery.py,.,2026-08-09T13:40:02.541045Z,2026-08-09T13:40:03.630085Z,1.088451,0,PASS,reports/icml2027/command_logs/0018_baseline_changed_mypy.stdout.log,reports/icml2027/command_logs/0018_baseline_changed_mypy.stderr.log,,,,False
19,baseline_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-08-09T13:40:03.734751Z,2026-08-09T13:40:15.761410Z,12.025998,1,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0019_baseline_full_mypy_debt.stdout.log,reports/icml2027/command_logs/0019_baseline_full_mypy_debt.stderr.log,,,,False
20,baseline_final_pre_run,python3 -m certgen audit final-pre-run --json,.,2026-08-09T13:40:15.873897Z,2026-08-09T13:40:17.418672Z,1.544188,0,PASS,reports/icml2027/command_logs/0020_baseline_final_pre_run.stdout.log,reports/icml2027/command_logs/0020_baseline_final_pre_run.stderr.log,,,,False
21,baseline_maximum_ceiling,python3 -m certgen audit maximum-ceiling --json,.,2026-08-09T13:40:17.515853Z,2026-08-09T13:40:19.496751Z,1.980385,0,PASS,reports/icml2027/command_logs/0021_baseline_maximum_ceiling.stdout.log,reports/icml2027/command_logs/0021_baseline_maximum_ceiling.stderr.log,,,,False
22,baseline_cpu_execution,python3 -m certgen audit cpu-execution --json,.,2026-08-09T13:40:19.590825Z,2026-08-09T13:40:19.812026Z,0.220713,0,PASS,reports/icml2027/command_logs/0022_baseline_cpu_execution.stdout.log,reports/icml2027/command_logs/0022_baseline_cpu_execution.stderr.log,,,,False
23,baseline_kaggle_launch,python3 -m certgen audit kaggle-launch --json,.,2026-08-09T13:40:19.909447Z,2026-08-09T13:40:20.401536Z,0.491528,0,PASS,reports/icml2027/command_logs/0023_baseline_kaggle_launch.stdout.log,reports/icml2027/command_logs/0023_baseline_kaggle_launch.stderr.log,,,,False
24,baseline_universal_kaggle,python3 -m certgen audit universal-kaggle --json,.,2026-08-09T13:40:20.494678Z,2026-08-09T13:40:20.842426Z,0.347259,0,PASS,reports/icml2027/command_logs/0024_baseline_universal_kaggle.stdout.log,reports/icml2027/command_logs/0024_baseline_universal_kaggle.stderr.log,,,,False
25,baseline_diff_check,git diff --check,.,2026-08-09T13:40:20.943862Z,2026-08-09T13:40:20.966194Z,0.021944,0,PASS,reports/icml2027/command_logs/0025_baseline_diff_check.stdout.log,reports/icml2027/command_logs/0025_baseline_diff_check.stderr.log,,,,False
26,build_research_layer,python3 scripts/icml2027/build_research_layer.py,.,2026-08-09T14:00:14.363387Z,2026-08-09T14:00:14.432918Z,0.069124,1,FAIL,reports/icml2027/command_logs/0026_build_research_layer.stdout.log,reports/icml2027/command_logs/0026_build_research_layer.stderr.log,"configs/icml2027,registry/icml2027,docs/icml2027,notebooks/kaggle/icml2027,reports/icml2027,artifacts/icml2027",,,False
27,build_research_layer_retry,python3 scripts/icml2027/build_research_layer.py,.,2026-08-09T14:00:27.846816Z,2026-08-09T14:00:28.361460Z,0.514112,0,PASS,reports/icml2027/command_logs/0027_build_research_layer_retry.stdout.log,reports/icml2027/command_logs/0027_build_research_layer_retry.stderr.log,"configs/icml2027,registry/icml2027,docs/icml2027,notebooks/kaggle/icml2027,reports/icml2027,artifacts/icml2027",,,False
28,cpu_tier_a_quick,python3 scripts/icml2027/run_cpu_suite.py --tier quick --replay,.,2026-08-09T14:07:34.698163Z,2026-08-09T14:07:35.668492Z,0.969699,1,FAIL,reports/icml2027/command_logs/0028_cpu_tier_a_quick.stdout.log,reports/icml2027/command_logs/0028_cpu_tier_a_quick.stderr.log,"reports/icml2027,artifacts/icml2027",,,False
29,cpu_tier_a_quick_retry,python3 scripts/icml2027/run_cpu_suite.py --tier quick --replay,.,2026-08-09T14:07:46.063077Z,2026-08-09T14:08:01.207560Z,15.143977,0,PASS,reports/icml2027/command_logs/0029_cpu_tier_a_quick_retry.stdout.log,reports/icml2027/command_logs/0029_cpu_tier_a_quick_retry.stderr.log,"reports/icml2027,artifacts/icml2027",,,False
30,regenerate_research_contracts,python3 scripts/icml2027/build_research_layer.py,.,2026-08-09T14:09:07.118273Z,2026-08-09T14:09:07.537394Z,0.418674,0,PASS,reports/icml2027/command_logs/0030_regenerate_research_contracts.stdout.log,reports/icml2027/command_logs/0030_regenerate_research_contracts.stderr.log,"configs/icml2027,registry/icml2027,docs/icml2027,notebooks/kaggle/icml2027",,,False
31,icml_notebook_determinism,python3 -m certgen icml2027 notebooks check-determinism,.,2026-08-09T14:09:07.619711Z,2026-08-09T14:09:07.765710Z,0.145422,0,PASS,reports/icml2027/command_logs/0031_icml_notebook_determinism.stdout.log,reports/icml2027/command_logs/0031_icml_notebook_determinism.stderr.log,,,,False
32,cpu_tier_a_quick_final,python3 scripts/icml2027/run_cpu_suite.py --tier quick --replay,.,2026-08-09T14:09:13.504862Z,2026-08-09T14:09:18.550805Z,5.045393,0,PASS,reports/icml2027/command_logs/0032_cpu_tier_a_quick_final.stdout.log,reports/icml2027/command_logs/0032_cpu_tier_a_quick_final.stderr.log,"reports/icml2027/CPU_SUITE_QUICK.json,artifacts/icml2027/synthetic_validation/quick",,,False
33,cpu_tier_b_medium,python3 scripts/icml2027/run_cpu_suite.py --tier medium,.,2026-08-09T14:09:33.737442Z,2026-08-09T14:09:38.929506Z,5.191531,0,PASS,reports/icml2027/command_logs/0033_cpu_tier_b_medium.stdout.log,reports/icml2027/command_logs/0033_cpu_tier_b_medium.stderr.log,"reports/icml2027/CPU_SUITE_MEDIUM.json,artifacts/icml2027/synthetic_validation/medium",,,False
34,cpu_tier_c_overnight,python3 scripts/icml2027/run_cpu_suite.py --tier overnight,.,2026-08-09T14:09:50.135329Z,2026-08-09T14:10:16.819956Z,26.683914,0,PASS,reports/icml2027/command_logs/0034_cpu_tier_c_overnight.stdout.log,reports/icml2027/command_logs/0034_cpu_tier_c_overnight.stderr.log,"reports/icml2027/CPU_SUITE_OVERNIGHT.json,artifacts/icml2027/synthetic_validation/overnight",,,False
35,cpu_tier_c_complete_final,python3 scripts/icml2027/run_cpu_suite.py --tier overnight --replay,.,2026-08-09T14:12:19.372451Z,2026-08-09T14:12:47.459335Z,28.086235,0,PASS,reports/icml2027/command_logs/0035_cpu_tier_c_complete_final.stdout.log,reports/icml2027/command_logs/0035_cpu_tier_c_complete_final.stderr.log,"reports/icml2027/CPU_SUITE_OVERNIGHT.json,baseline/multiplicity/representation/finite-sample reports",,,False
36,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane dinov2_preflight,.,2026-08-09T14:19:11.121977Z,2026-08-09T14:19:11.194572Z,0.071923,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0036_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0036_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/dinov2_preflight/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
37,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane dinov2_features,.,2026-08-09T14:19:11.274923Z,2026-08-09T14:19:11.348553Z,0.073240,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0037_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0037_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/dinov2_features/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
38,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane cifar_cross_family_preflight,.,2026-08-09T14:19:11.428883Z,2026-08-09T14:19:11.504810Z,0.075522,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0038_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0038_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/cifar_cross_family_preflight/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
39,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane cifar_10k_generation,.,2026-08-09T14:19:11.586048Z,2026-08-09T14:19:11.661345Z,0.074849,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0039_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0039_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/cifar_10k_generation/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
40,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane cifar_10k_features,.,2026-08-09T14:19:11.744766Z,2026-08-09T14:19:11.823163Z,0.077958,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0040_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0040_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/cifar_10k_features/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
41,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane released_sample_features,.,2026-08-09T14:19:11.909985Z,2026-08-09T14:19:11.989441Z,0.079035,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0041_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0041_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/released_sample_features/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
42,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane ffhq,.,2026-08-09T14:19:12.078166Z,2026-08-09T14:19:12.161671Z,0.083078,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0042_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0042_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/ffhq/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
43,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane imagenet,.,2026-08-09T14:19:12.260638Z,2026-08-09T14:19:12.358297Z,0.097161,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0043_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0043_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/imagenet/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
44,kaggle_blocked_plans,python3 scripts/icml2027/build_kaggle_input.py --lane text_to_image,.,2026-08-09T14:19:12.460173Z,2026-08-09T14:19:12.556818Z,0.096114,3,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0044_kaggle_blocked_plans.stdout.log,reports/icml2027/command_logs/0044_kaggle_blocked_plans.stderr.log,artifacts/icml2027/kaggle_inputs/text_to_image/BLOCKED_PLAN.json,,authenticated_external_inputs_required,False
45,reporting,python3 scripts/icml2027/finalize_reports.py,.,2026-08-09T14:19:12.664080Z,2026-08-09T14:19:12.760655Z,0.096121,0,PASS,reports/icml2027/command_logs/0045_reporting.stdout.log,reports/icml2027/command_logs/0045_reporting.stderr.log,reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE.json,,,False
46,final_verification,python3 -m compileall -q certgen scripts tests,.,2026-08-09T14:19:47.188669Z,2026-08-09T14:19:47.329247Z,0.140182,0,PASS,reports/icml2027/command_logs/0046_final_verification.stdout.log,reports/icml2027/command_logs/0046_final_verification.stderr.log,,,,False
47,final_verification,python3 -c 'import certgen; import certgen.icml2027; import certgen.icml2027.cli; import certgen.icml2027.synthetic.engine; import certgen.icml2027.baselines.runner',.,2026-08-09T14:19:47.415315Z,2026-08-09T14:19:47.818284Z,0.402488,0,PASS,reports/icml2027/command_logs/0047_final_verification.stdout.log,reports/icml2027/command_logs/0047_final_verification.stderr.log,,,,False
48,final_verification,pytest -q -o addopts=,.,2026-08-09T14:19:47.912198Z,2026-08-09T14:21:43.453451Z,115.539144,0,PASS,reports/icml2027/command_logs/0048_final_verification.stdout.log,reports/icml2027/command_logs/0048_final_verification.stderr.log,,,,False
49,final_verification,pytest -q,.,2026-08-09T14:21:57.322412Z,2026-08-09T14:22:26.270173Z,28.947000,0,PASS,reports/icml2027/command_logs/0049_final_verification.stdout.log,reports/icml2027/command_logs/0049_final_verification.stderr.log,,,,False
50,final_verification,pytest -q -o addopts= -m integration_audit,.,2026-08-09T14:22:33.238923Z,2026-08-09T14:24:15.450963Z,102.215903,0,PASS,reports/icml2027/command_logs/0050_final_verification.stdout.log,reports/icml2027/command_logs/0050_final_verification.stderr.log,,,,False
51,final_verification,pytest -q -o addopts= tests/icml2027,.,2026-08-09T14:24:40.516132Z,2026-08-09T14:24:41.939252Z,1.421908,0,PASS,reports/icml2027/command_logs/0051_final_verification.stdout.log,reports/icml2027/command_logs/0051_final_verification.stderr.log,,,,False
52,final_verification,python3 -m certgen icml2027 synthetic run --config configs/icml2027/synthetic_validation_quick.yaml --out-dir artifacts/icml2027/synthetic_validation/final_cli_quick,.,2026-08-09T14:24:42.033678Z,2026-08-09T14:24:42.354558Z,0.320336,0,PASS,reports/icml2027/command_logs/0052_final_verification.stdout.log,reports/icml2027/command_logs/0052_final_verification.stderr.log,artifacts/icml2027/synthetic_validation/final_cli_quick,,,False
53,final_verification,python3 -m certgen icml2027 synthetic run --config configs/icml2027/synthetic_validation_overnight.yaml --out-dir artifacts/icml2027/synthetic_validation/overnight,.,2026-08-09T14:24:42.459122Z,2026-08-09T14:25:05.167870Z,22.708192,0,PASS,reports/icml2027/command_logs/0053_final_verification.stdout.log,reports/icml2027/command_logs/0053_final_verification.stderr.log,artifacts/icml2027/synthetic_validation/overnight,,,False
54,final_verification,python3 -m certgen icml2027 reviewer-attack run --config configs/icml2027/reviewer_attack_suite.yaml --out-dir artifacts/icml2027/reviewer_attacks,.,2026-08-09T14:25:05.265982Z,2026-08-09T14:25:05.463263Z,0.196740,0,PASS,reports/icml2027/command_logs/0054_final_verification.stdout.log,reports/icml2027/command_logs/0054_final_verification.stderr.log,artifacts/icml2027/reviewer_attacks,,,False
55,final_verification,python3 -m certgen icml2027 notebooks generate --root notebooks/kaggle/icml2027,.,2026-08-09T14:25:40.330588Z,2026-08-09T14:25:40.456741Z,0.125698,0,PASS,reports/icml2027/command_logs/0055_final_verification.stdout.log,reports/icml2027/command_logs/0055_final_verification.stderr.log,,,,False
56,final_verification,python3 -m certgen icml2027 notebooks check-determinism --root notebooks/kaggle/icml2027,.,2026-08-09T14:25:40.535943Z,2026-08-09T14:25:40.661906Z,0.125463,0,PASS,reports/icml2027/command_logs/0056_final_verification.stdout.log,reports/icml2027/command_logs/0056_final_verification.stderr.log,,,,False
57,final_verification,python3 -m certgen notebooks check-determinism --json,.,2026-08-09T14:25:40.738290Z,2026-08-09T14:25:40.946224Z,0.207460,0,PASS,reports/icml2027/command_logs/0057_final_verification.stdout.log,reports/icml2027/command_logs/0057_final_verification.stderr.log,,,,False
58,final_verification,python3 -m certgen audit notebooks --json,.,2026-08-09T14:25:41.026658Z,2026-08-09T14:25:41.161462Z,0.134266,0,PASS,reports/icml2027/command_logs/0058_final_verification.stdout.log,reports/icml2027/command_logs/0058_final_verification.stderr.log,,,,False
59,final_verification,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-08-09T14:25:41.242425Z,2026-08-09T14:25:41.412103Z,0.169167,0,PASS,reports/icml2027/command_logs/0059_final_verification.stdout.log,reports/icml2027/command_logs/0059_final_verification.stderr.log,,,,False
60,final_verification,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-08-09T14:25:41.496658Z,2026-08-09T14:25:41.700221Z,0.203024,0,PASS,reports/icml2027/command_logs/0060_final_verification.stdout.log,reports/icml2027/command_logs/0060_final_verification.stderr.log,,,,False
61,final_verification,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-09T14:25:41.793729Z,2026-08-09T14:25:41.964918Z,0.170679,0,PASS,reports/icml2027/command_logs/0061_final_verification.stdout.log,reports/icml2027/command_logs/0061_final_verification.stderr.log,,,,False
62,final_verification,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-08-09T14:25:42.056278Z,2026-08-09T14:25:42.218579Z,0.161747,0,PASS,reports/icml2027/command_logs/0062_final_verification.stdout.log,reports/icml2027/command_logs/0062_final_verification.stderr.log,,,,False
63,final_verification,python3 -m certgen icml2027 replay study --study-id icml2027_synthetic_validity_v1 --registry registry/icml2027/study_registry.yaml --out-dir artifacts/icml2027/replay,.,2026-08-09T14:25:42.312069Z,2026-08-09T14:25:42.632699Z,0.320063,0,PASS,reports/icml2027/command_logs/0063_final_verification.stdout.log,reports/icml2027/command_logs/0063_final_verification.stderr.log,artifacts/icml2027/replay/icml2027_synthetic_validity_v1,,,False
64,final_verification,python3 -m certgen audit paper --json,.,2026-08-09T14:25:42.732608Z,2026-08-09T14:25:42.906463Z,0.173315,0,PASS,reports/icml2027/command_logs/0064_final_verification.stdout.log,reports/icml2027/command_logs/0064_final_verification.stderr.log,,,,False
65,final_verification,pytest -q -o addopts= tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py,.,2026-08-09T14:25:43.006342Z,2026-08-09T14:25:50.339892Z,7.332966,0,PASS,reports/icml2027/command_logs/0065_final_verification.stdout.log,reports/icml2027/command_logs/0065_final_verification.stderr.log,,,,False
66,final_verification,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues,""claim_allowed"":False}); raise SystemExit(bool(issues))'",.,2026-08-09T14:26:18.839575Z,2026-08-09T14:26:18.902601Z,0.062596,0,PASS,reports/icml2027/command_logs/0066_final_verification.stdout.log,reports/icml2027/command_logs/0066_final_verification.stderr.log,,,,False
67,final_verification,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings,""claim_allowed"":False}); raise SystemExit(bool(findings))'",.,2026-08-09T14:26:18.980434Z,2026-08-09T14:26:19.164690Z,0.183859,0,PASS,reports/icml2027/command_logs/0067_final_verification.stdout.log,reports/icml2027/command_logs/0067_final_verification.stderr.log,,,,False
68,final_verification,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted,""claim_allowed"":False}); raise SystemExit(bool(blockers or restricted))'",.,2026-08-09T14:26:19.239685Z,2026-08-09T14:26:19.697258Z,0.457145,0,PASS,reports/icml2027/command_logs/0068_final_verification.stdout.log,reports/icml2027/command_logs/0068_final_verification.stderr.log,,,,False
69,final_verification,python3 -m certgen.cli.run_release_safety_scan,.,2026-08-09T14:26:19.775615Z,2026-08-09T14:26:19.882441Z,0.106378,0,PASS,reports/icml2027/command_logs/0069_final_verification.stdout.log,reports/icml2027/command_logs/0069_final_verification.stderr.log,,,,False
70,final_verification,python3 -m certgen audit final-pre-run --json,.,2026-08-09T14:26:19.962003Z,2026-08-09T14:26:21.135479Z,1.173036,0,PASS,reports/icml2027/command_logs/0070_final_verification.stdout.log,reports/icml2027/command_logs/0070_final_verification.stderr.log,,,,False
71,final_verification,python3 -m certgen audit maximum-ceiling --json,.,2026-08-09T14:26:21.217273Z,2026-08-09T14:26:24.023925Z,2.805999,0,PASS,reports/icml2027/command_logs/0071_final_verification.stdout.log,reports/icml2027/command_logs/0071_final_verification.stderr.log,,,,False
72,final_verification,python3 -m certgen audit cpu-execution --json,.,2026-08-09T14:26:24.127238Z,2026-08-09T14:26:24.366201Z,0.238356,0,PASS,reports/icml2027/command_logs/0072_final_verification.stdout.log,reports/icml2027/command_logs/0072_final_verification.stderr.log,,,,False
73,final_verification,python3 -m certgen audit kaggle-launch --json,.,2026-08-09T14:26:24.465790Z,2026-08-09T14:26:24.971728Z,0.505416,0,PASS,reports/icml2027/command_logs/0073_final_verification.stdout.log,reports/icml2027/command_logs/0073_final_verification.stderr.log,,,,False
74,final_verification,python3 -m certgen audit universal-kaggle --json,.,2026-08-09T14:26:25.067519Z,2026-08-09T14:26:25.417454Z,0.349309,0,PASS,reports/icml2027/command_logs/0074_final_verification.stdout.log,reports/icml2027/command_logs/0074_final_verification.stderr.log,,,,False
75,final_verification,python3 -m certgen icml2027 evidence audit --registry registry/icml2027/claim_registry.yaml --out reports/icml2027/CLAIM_EVIDENCE_MATRIX.json,.,2026-08-09T14:26:37.832976Z,2026-08-09T14:26:37.961559Z,0.128114,0,PASS,reports/icml2027/command_logs/0075_final_verification.stdout.log,reports/icml2027/command_logs/0075_final_verification.stderr.log,,,,False
76,final_verification,python3 -m certgen icml2027 audit numerical --out-dir artifacts/icml2027/numerical_audit --seed 20270809,.,2026-08-09T14:26:38.037739Z,2026-08-09T14:26:38.176878Z,0.138653,0,PASS,reports/icml2027/command_logs/0076_final_verification.stdout.log,reports/icml2027/command_logs/0076_final_verification.stderr.log,,,,False
77,final_verification,python3 -m certgen icml2027 audit go-no-go --registry registry/icml2027/benchmark_registry.yaml --out reports/icml2027/BENCHMARK_GO_NO_GO.json,.,2026-08-09T14:26:38.255603Z,2026-08-09T14:26:38.384778Z,0.128722,0,PASS,reports/icml2027/command_logs/0077_final_verification.stdout.log,reports/icml2027/command_logs/0077_final_verification.stderr.log,,,,False
